	created_at	text	source	retweet_count	favorite_count	year	month	day
3731	2022-06-20 12:45:32	"RT @BarbaraDavari: ""Ποιος είσαι εσύ που θα κάνεις μομφή;"" ρωτάει ο #Πορτοσαλτε που δυο χρόνια τώρα μέμφεται τους ανεμβολίαστους για τις ανε…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	5	0	2022	6	20
3732	2022-06-20 12:45:24	Κορονοϊός: 4.832 κρούσματα σήμερα, με 781 επαναλοιμώξεις – Στους 97 οι διασωληνωμένοι, 11 νέοι θάνατοι  	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	0	0	2022	6	20
3733	2022-06-20 12:44:55	RT @FKbXDaCt2HDL3sp: Πριν ακόμα βρεθεί το πρώτο κρούσμα Covid19 είχαν ετοιμάσει να εμβολιάσουν όλο το κόσμο. Άρθρο του Γαλλικού περιοδικού…	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	48	0	2022	6	20
3734	2022-06-20 12:43:24	Κορονοϊός: Τα κρούσματα σήμερα (20/6/2022) – Η ανακοίνωση του ΕΟΔΥ  	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0	2022	6	20
3735	2022-06-20 12:43:16	Κορονοϊός: 2.765 νέα κρούσματα σήμερα στην Αττική #NEWS247  	"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>"	1	1	2022	6	20
3736	2022-06-20 12:42:34	Κορονοϊός: 11 θάνατοι, 97 διασωληνωμένοι, 4.832 νέα κρούσματα  	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	0	0	2022	6	20
3737	2022-06-20 12:41:34	Κορονοϊός: 4.832 νέα κρούσματα σήμερα, 11 θάνατοι και 97 διασωληνωμένοι  	"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>"	0	2	2022	6	20
3738	2022-06-20 12:40:32	Κορονοϊός: 4.832 νέα κρούσματα, 11 θάνατοι και 97 διασωληνωμένοι  	"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>"	1	0	2022	6	20
3739	2022-06-20 12:40:29	Κορονοϊός: 4.832 νέα κρούσματα - 11 νέοι θάνατοι και 97 οι διασωληνωμένοι -  	"<a href=""http://www.irafina.gr/"" rel=""nofollow"">iRafina</a>"	0	0	2022	6	20
3740	2022-06-20 12:39:32	RT @FKbXDaCt2HDL3sp: Πριν ακόμα βρεθεί το πρώτο κρούσμα Covid19 είχαν ετοιμάσει να εμβολιάσουν όλο το κόσμο. Άρθρο του Γαλλικού περιοδικού…	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	48	0	2022	6	20
3741	2022-06-20 12:39:24	Κορωνοϊός: 4.832 νέα κρούσματα στην Ελλάδα. 11 θάνατοι και 97 διασωληνωμένοι #ΕΟΔΥ #κορονοϊός #Κρούσματα   	"<a href=""https://www.thepresident.gr"" rel=""nofollow"">ThePresidentSharePostApp</a>"	0	0	2022	6	20
